entry_time,exit_time,side,lots,entry_price,exit_price,entry_fill,exit_fill,bars_held,reason,gross_pnl,commission,net_pnl,equity_after
2026-02-22 23:00:00+00:00,2026-02-23 00:00:00+00:00,-1,0.04,5110.1,5132.0495677104145,5109.950000000001,5132.249567710414,1,sl,-87.79827084165663,0.28,-89.47827084165445,9404.740628883039
2026-02-23 00:00:00+00:00,2026-02-23 14:00:00+00:00,-1,0.03,5165.29,5190.8117414453845,5165.09,5190.961741445384,14,sl,-76.56522433615372,0.21,-77.82522433615209,9326.915404546888
2026-02-23 14:00:00+00:00,2026-02-23 15:00:00+00:00,-1,0.04,5146.66,5168.258991163631,5146.51,5168.408991163631,1,sl,-86.39596465452632,0.28,-87.87596465452341,9239.039439892364
2026-02-23 15:00:00+00:00,2026-02-23 16:00:00+00:00,-1,0.03,5192.33,5216.552634651944,5192.18,5216.702634651943,1,sl,-72.6679039558312,0.21,-73.77790395582902,9165.261535936535
2026-02-23 16:00:00+00:00,2026-02-23 20:00:00+00:00,-1,0.03,5196.09,5220.327446462519,5195.9400000000005,5220.477446462519,4,sl,-72.71233938755722,0.21,-73.82233938755503,9091.439196548981
2026-02-23 20:00:00+00:00,2026-02-23 23:00:00+00:00,-1,0.03,5215.51,5239.207941701791,5215.360000000001,5239.357941701791,2,sl,-71.09382510537307,0.21,-72.20382510537088,9019.23537144361
2026-02-23 23:00:00+00:00,2026-02-24 01:00:00+00:00,-1,0.04,5229.33,5183.850080126503,5229.18,5184.0500801265025,2,tp,181.91967949398895,0.28,180.23967949399113,9199.4750509376
2026-02-24 01:00:00+00:00,2026-02-24 02:00:00+00:00,-1,0.04,5224.05,5178.283130313158,5223.85,5178.483130313158,1,tp,183.06747874736902,0.28,181.18747874737048,9380.66252968497
2026-02-24 02:00:00+00:00,2026-02-24 13:00:00+00:00,-1,0.03,5177.49,5123.672192433646,5177.29,5123.822192433646,11,tp,161.45342269906087,0.21,160.1934226990625,9540.855952384034
2026-02-24 13:00:00+00:00,2026-02-24 14:00:00+00:00,-1,0.03,5150.85,5105.703346207085,5150.700000000001,5105.8533462070845,1,tp,135.43996137874637,0.21,134.32996137874855,9675.185913762783
2026-02-24 14:00:00+00:00,2026-02-24 15:00:00+00:00,-1,0.03,5115.22,5139.776660689568,5115.070000000001,5139.926660689568,1,sl,-73.66998206870448,0.21,-74.7799820687023,9600.405931694082
2026-02-24 15:00:00+00:00,2026-02-24 17:00:00+00:00,-1,0.03,5128.01,5154.077613497456,5127.860000000001,5154.227613497455,2,sl,-78.2028404923667,0.21,-79.31284049236451,9521.093091201717
2026-02-24 17:00:00+00:00,2026-02-24 18:00:00+00:00,-1,0.03,5142.05,5168.514115719745,5141.900000000001,5168.664115719745,1,sl,-79.3923471592343,0.21,-80.5023471592321,9440.590744042485
2026-02-24 18:00:00+00:00,2026-02-25 01:00:00+00:00,-1,0.03,5163.67,5189.82667888262,5163.52,5190.02667888262,6,sl,-78.47003664786098,0.21,-79.73003664785934,9360.860707394626
2026-02-25 01:00:00+00:00,2026-02-25 02:00:00+00:00,-1,0.03,5152.49,5177.594857449481,5152.29,5177.794857449481,1,sl,-75.31457234844493,0.21,-76.72457234844383,9284.136135046183
2026-02-25 02:00:00+00:00,2026-02-25 05:00:00+00:00,-1,0.03,5176.81,5203.395939060234,5176.610000000001,5203.595939060234,3,sl,-79.75781718070084,0.21,-81.16781718069974,9202.968317865483
2026-02-25 05:00:00+00:00,2026-02-25 16:00:00+00:00,-1,0.03,5182.69,5207.34632584378,5182.49,5207.496325843779,11,sl,-73.96897753133999,0.21,-75.22897753133834,9127.739340334145
2026-02-25 16:00:00+00:00,2026-02-25 17:00:00+00:00,-1,0.03,5194.84,5217.572173679823,5194.6900000000005,5217.722173679823,1,sl,-68.19652103946919,0.21,-69.306521039467,9058.432819294678
2026-02-25 17:00:00+00:00,2026-02-25 20:00:00+00:00,-1,0.03,5212.05,5166.4031060231855,5211.900000000001,5166.553106023185,3,tp,136.94068193044404,0.21,135.83068193044622,9194.263501225125
2026-02-25 20:00:00+00:00,2026-02-25 21:00:00+00:00,-1,0.03,5204.71,5163.166331608214,5204.56,5163.316331608214,1,tp,124.63100517535804,0.21,123.52100517536023,9317.784506400485
2026-02-25 21:00:00+00:00,2026-02-25 23:00:00+00:00,-1,0.03,5152.17,5175.764560324758,5152.02,5175.914560324758,1,sl,-70.78368097427483,0.21,-71.89368097427264,9245.890825426213
2026-02-25 23:00:00+00:00,2026-02-26 00:00:00+00:00,-1,0.03,5159.5,5183.0599488729895,5159.35,5183.259948872989,1,sl,-70.67984661896844,0.21,-71.9398466189668,9173.950978807246
